Model,Threshold,Precision,Recall,F1
LightGBM,0.17,0.3076923076923077,0.125,0.17777777777777778
LightGBM,0.18000000000000002,0.36363636363636365,0.125,0.18604651162790697
LightGBM,0.19,0.4,0.125,0.19047619047619047
LightGBM,0.2,0.3333333333333333,0.09375,0.14634146341463414
LightGBM,0.21000000000000002,0.375,0.09375,0.15
LightGBM,0.22,0.2857142857142857,0.0625,0.10256410256410256
LightGBM,0.23,0.3333333333333333,0.0625,0.10526315789473684
LightGBM,0.24000000000000002,0.4,0.0625,0.10810810810810811
LightGBM,0.25,0.5,0.0625,0.1111111111111111
LightGBM,0.26,0.5,0.0625,0.1111111111111111
LightGBM,0.27,0.5,0.0625,0.1111111111111111
LightGBM,0.28,0.6666666666666666,0.0625,0.11428571428571428
LightGBM,0.29000000000000004,0.6666666666666666,0.0625,0.11428571428571428
LightGBM,0.3,0.6666666666666666,0.0625,0.11428571428571428
LightGBM,0.31,1.0,0.0625,0.11764705882352941
LightGBM,0.32,1.0,0.0625,0.11764705882352941
LightGBM,0.33,1.0,0.0625,0.11764705882352941
LightGBM,0.34,1.0,0.0625,0.11764705882352941
LightGBM,0.35000000000000003,1.0,0.0625,0.11764705882352941
LightGBM,0.36000000000000004,1.0,0.03125,0.06060606060606061
LightGBM,0.37,1.0,0.03125,0.06060606060606061
LightGBM,0.38,1.0,0.03125,0.06060606060606061
LightGBM,0.39,0.0,0.0,0.0
LightGBM,0.4,0.0,0.0,0.0
LightGBM,0.41000000000000003,0.0,0.0,0.0
LightGBM,0.42000000000000004,0.0,0.0,0.0
LightGBM,0.43,0.0,0.0,0.0
LightGBM,0.44,0.0,0.0,0.0
LightGBM,0.45,0.0,0.0,0.0
LightGBM,0.46,0.0,0.0,0.0
LightGBM,0.47000000000000003,0.0,0.0,0.0
LightGBM,0.48000000000000004,0.0,0.0,0.0
LightGBM,0.49,0.0,0.0,0.0
LightGBM,0.5,0.0,0.0,0.0
